indic_bt,nace_r2,unit,geo\time	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 	2018Q3 	2018Q4 	2019Q1 	2019Q2 	2019Q3 	2019Q4 	2020Q1 
TOVT,G-N_STS_X_G47,I2015_SCA,AT	106.1 s	107.1 s	109.1 s	110.1 s	112.2 s	112.5 s	113.6 s	114.2 s	113.8 s	114.5 s	113.6 s	: 
TOVT,G-N_STS_X_G47,I2015_SCA,BE	107.6 ps	108.4 ps	110.5 ps	110.9 ps	113.2 ps	113.4 ps	113.1 ps	114.1 ps	113.7 ps	115.5 ps	117.7 s	: 
TOVT,G-N_STS_X_G47,I2015_SCA,BG	110.3 s	112.1 s	115.6 s	118.9 s	121.9 s	123.1 s	125.6 s	123.1 ps	121.3 ps	122.7 ps	120.6 ps	120.4 ps
TOVT,G-N_STS_X_G47,I2015_SCA,CY	113.6 s	114.0 s	115.9 s	116.2 s	120.3 s	123.5 s	124.5 s	124.5 s	125.2 s	130.8 s	: c	: 
TOVT,G-N_STS_X_G47,I2015_SCA,CZ	105.5 s	105.3 s	107.7 s	108.6 s	110.5 s	112.6 s	112.4 s	114.3 s	114.0 s	114.2 s	114.6 s	: 
TOVT,G-N_STS_X_G47,I2015_SCA,DE	107.8 ps	108.4 ps	110.8 ps	111.6 ps	112.5 ps	112.8 ps	115.0 ps	116.6 ps	115.6 ps	115.3 ps	116.7 ps	: 
TOVT,G-N_STS_X_G47,I2015_SCA,DK	105.9 ps	107.0 ps	108.3 ps	109.0 ps	111.6 ps	112.6 ps	113.5 ps	114.8 ps	114.8 ps	116.2 ps	118.4 ps	115.0 ps
TOVT,G-N_STS_X_G47,I2015_SCA,EA19	108.0 	109.2 	111.3 	112.3 	113.8 	114.6 	116.2 	117.3 	117.8 	118.4 	119.1 	: 
TOVT,G-N_STS_X_G47,I2015_SCA,EE	112.2 s	113.3 s	119.9 s	122.5 s	124.9 s	130.6 s	137.8 s	132.2 s	136.0 s	139.2 s	141.1 s	: 
TOVT,G-N_STS_X_G47,I2015_SCA,EL	101.5 s	102.6 s	105.0 s	107.4 s	108.2 s	110.5 s	108.8 s	108.2 s	110.2 s	111.1 s	111.1 ps	: 
TOVT,G-N_STS_X_G47,I2015_SCA,ES	111.7 p	112.7 p	115.7 p	117.4 p	118.9 p	121.6 p	122.0 p	123.9 p	125.2 p	125.2 p	126.2 p	117.5 p
TOVT,G-N_STS_X_G47,I2015_SCA,EU27_2020	108.5 	109.8 	112.0 	113.1 	114.9 	115.8 	117.4 	118.7 	119.3 	120.1 	120.8 	: 
TOVT,G-N_STS_X_G47,I2015_SCA,EU28	108.0 	109.3 	111.4 	112.6 	114.9 	116.0 	117.5 	118.7 	119.4 	120.1 	120.2 	: 
TOVT,G-N_STS_X_G47,I2015_SCA,FI	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
TOVT,G-N_STS_X_G47,I2015_SCA,FR	106.4 	108.5 	110.2 	111.4 	113.2 	113.7 	115.7 	117.0 	118.2 	119.3 	120.1 	: 
TOVT,G-N_STS_X_G47,I2015_SCA,HR	110.4 	111.7 	112.8 	115.1 	117.5 	118.5 	119.9 	122.6 	123.4 	125.1 	126.8 	: 
TOVT,G-N_STS_X_G47,I2015_SCA,HU	122.8 s	125.5 s	129.9 s	133.1 s	140.1 s	144.1 s	144.6 s	154.5 s	158.5 s	164.1 s	167.3 s	166.1 s
TOVT,G-N_STS_X_G47,I2015_SCA,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
TOVT,G-N_STS_X_G47,I2015_SCA,IT	104.6 	105.3 	106.4 	106.8 	107.2 	106.6 	107.0 	107.5 	107.4 	107.6 	107.0 	100.4 
TOVT,G-N_STS_X_G47,I2015_SCA,LT	117.2 s	118.6 s	123.9 s	126.5 s	131.3 s	133.8 s	137.6 s	141.3 s	143.3 s	147.1 s	149.3 s	: 
TOVT,G-N_STS_X_G47,I2015_SCA,LU	107.5 s	109.0 s	111.5 s	113.8 s	110.1 s	116.6 s	121.2 s	123.7 s	126.2 s	119.2 s	117.0 ps	114.2 ps
TOVT,G-N_STS_X_G47,I2015_SCA,LV	114.8 	113.2 	119.5 	116.4 	121.2 	120.3 	127.6 	127.5 	127.7 	126.1 	123.0 	: 
TOVT,G-N_STS_X_G47,I2015_SCA,MT	117.2 s	113.5 s	121.0 ps	119.3 ps	124.2 ps	124.3 ps	122.9 ps	123.4 ps	122.3 ps	126.2 ps	125.9 ps	: 
TOVT,G-N_STS_X_G47,I2015_SCA,NL	: c	109.7 ps	111.1 ps	112.3 ps	114.4 ps	115.2 ps	116.5 ps	117.1 ps	117.7 ps	118.6 ps	119.0 ps	: 
TOVT,G-N_STS_X_G47,I2015_SCA,PL	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 
TOVT,G-N_STS_X_G47,I2015_SCA,PT	109.6 	110.5 	112.5 	112.3 	116.0 	116.0 	114.9 	117.8 	118.4 	118.2 	117.6 	113.0 
TOVT,G-N_STS_X_G47,I2015_SCA,RO	118.6 s	122.7 s	125.2 s	125.3 ps	131.5 s	134.1 s	137.5 ps	139.8 s	141.7 s	142.9 s	147.2 ps	153.7 ps
TOVT,G-N_STS_X_G47,I2015_SCA,SE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
TOVT,G-N_STS_X_G47,I2015_SCA,SI	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
TOVT,G-N_STS_X_G47,I2015_SCA,SK	110.6 s	112.5 s	114.9 s	117.1 s	120.2 s	122.6 s	124.3 s	125.8 s	125.8 s	125.8 s	126.7 s	127.3 s
TOVT,G-N_STS_X_G47,I2015_SCA,TR	133.2 	141.0 	150.1 	155.0 	165.0 	180.3 	174.1 	181.3 	193.1 	201.5 	213.2 	218.1 
TOVT,G-N_STS_X_G47,I2015_SCA,UK	106.4 s	107.4 s	109.0 s	110.6 s	115.4 s	116.9 s	117.4 s	119.0 s	120.3 s	119.8 s	117.2 s	114.5 s
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,AT	0.6 s	0.9 s	1.9 s	0.9 s	1.9 s	0.3 s	1.0 s	0.5 s	-0.4 s	0.6 s	-0.8 s	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,BE	1.9 ps	0.7 ps	1.9 ps	0.4 ps	2.1 ps	0.2 ps	-0.3 ps	0.9 ps	-0.4 ps	1.6 ps	1.9 ps	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,BG	-1.7 s	1.6 s	3.1 s	2.9 s	2.5 s	1.0 s	2.0 s	-2.0 ps	-1.5 ps	1.2 ps	-1.7 ps	-0.2 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,CY	0.7 s	0.4 s	1.7 s	0.3 s	3.5 s	2.7 s	0.8 s	0.0 s	0.6 s	4.5 s	: c	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,CZ	1.5 s	-0.2 s	2.3 s	0.8 s	1.7 s	1.9 s	-0.2 s	1.7 s	-0.3 s	0.2 s	0.4 s	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,DE	0.4 ps	0.6 ps	2.2 ps	0.7 ps	0.8 ps	0.3 ps	2.0 ps	1.4 ps	-0.9 ps	-0.3 ps	1.2 ps	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,DK	-0.1 ps	1.0 ps	1.2 ps	0.6 ps	2.4 ps	0.9 ps	0.8 ps	1.1 ps	0.0 ps	1.2 ps	1.9 ps	-2.9 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,EA19	0.7 	1.1 	1.9 	0.9 	1.3 	0.7 	1.4 	0.9 	0.4 	0.5 	0.6 	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,EE	-0.2 s	1.0 s	5.8 s	2.2 s	2.0 s	4.6 s	5.5 s	-4.1 s	2.9 s	2.4 s	1.4 s	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,EL	-0.9 s	1.1 s	2.3 s	2.3 s	0.7 s	2.1 s	-1.5 s	-0.6 s	1.8 s	0.8 s	0.0 ps	: 
