CURRENCY,2019(mean),2020(mean)
Austria,8952947.25,
Belgium,9057418.666666666,
Bulgaria,3084862.5,
Croatia,2671807.75,581259.0
Cyprus,2853032.5,1163300.0
Czechia,4714342.75,2571925.0
Denmark,8723727.0,5525313.0
Estonia,814580.75,
Finland,5834563.5,4202927.0
France,42433147.5,
Germany (until 1990 former territory of the FRG),56892851.75,34369248.0
Greece,28042834.0,
Hungary,4182623.5,
Iceland,1896105.0,1041620.0
Ireland,9498478.25,
Italy,37322480.0,
Latvia,1946642.25,
Lithuania,1627469.75,
Luxembourg,1091392.25,713491.0
Malta,1829589.25,1010292.0
Montenegro,663200.25,
Netherlands,20420757.25,
North Macedonia,588331.75,
Norway,10212200.0,7067534.0
Poland,12030910.0,
Portugal,13673186.0,
Romania,5391623.5,
Serbia,1387854.0,
Slovakia,711778.75,338316.0
Slovenia,430122.75,
Spain,56803987.75,
Sweden,9712938.333333334,
Switzerland,14338322.75,
United Kingdom,69471745.75,
