"TIME","CURRENCY","UNIT","STATINFO","Value"
"2019M01D01","Bulgarian lev","National currency","Average",":"
"2019M01D01","Czech koruna","National currency","Average",":"
"2019M01D01","Danish krone","National currency","Average",":"
"2019M01D01","Pound sterling","National currency","Average",":"
"2019M01D01","Croatian kuna","National currency","Average",":"
"2019M01D01","Hungarian forint","National currency","Average",":"
"2019M01D01","Polish zloty","National currency","Average",":"
"2019M01D01","Romanian leu","National currency","Average",":"
"2019M01D01","Swedish krona","National currency","Average",":"
"2019M01D01","Swiss franc","National currency","Average",":"
"2019M01D01","Icelandic krona","National currency","Average",":"
"2019M01D01","Norwegian krone","National currency","Average",":"
"2019M01D01","Albanian lek","National currency","Average",":"
"2019M01D01","Denar (of North Macedonia)","National currency","Average",":"
"2019M01D01","Serbian dinar","National currency","Average",":"
"2019M01D01","Turkish lira","National currency","Average",":"
"2019M01D01","Argentine peso","National currency","Average",":"
"2019M01D01","Australian dollar","National currency","Average",":"
"2019M01D01","Bosnia and Herzegovina convertible mark","National currency","Average","1.95583"
"2019M01D01","Brazilian real","National currency","Average",":"
"2019M01D01","Canadian dollar","National currency","Average",":"
"2019M01D01","Chinese renminbi-yuan","National currency","Average",":"
"2019M01D01","Hong Kong dollar","National currency","Average",":"
"2019M01D01","Indonesian rupiah","National currency","Average",":"
"2019M01D01","Israeli shekel","National currency","Average",":"
"2019M01D01","Indian rupee","National currency","Average",":"
"2019M01D01","Japanese yen","National currency","Average",":"
"2019M01D01","South Korean won","National currency","Average",":"
"2019M01D01","Mexican peso","National currency","Average",":"
"2019M01D01","Malaysian ringgit","National currency","Average",":"
"2019M01D01","New Zealand dollar","National currency","Average",":"
"2019M01D01","Philippine peso","National currency","Average",":"
"2019M01D01","Russian rouble","National currency","Average",":"
"2019M01D01","Singapore dollar","National currency","Average",":"
"2019M01D01","Thai baht","National currency","Average",":"
"2019M01D01","New Taiwan dollar","National currency","Average",":"
"2019M01D01","US dollar","National currency","Average",":"
"2019M01D01","South African rand","National currency","Average",":"
"2019M01D02","Bulgarian lev","National currency","Average","1.9558"
"2019M01D02","Czech koruna","National currency","Average","25.752"
"2019M01D02","Danish krone","National currency","Average","7.4669"
"2019M01D02","Pound sterling","National currency","Average","0.90165"
"2019M01D02","Croatian kuna","National currency","Average","7.42050"
"2019M01D02","Hungarian forint","National currency","Average","322.37"
"2019M01D02","Polish zloty","National currency","Average","4.2964"
"2019M01D02","Romanian leu","National currency","Average","4.6600"
"2019M01D02","Swedish krona","National currency","Average","10.2145"
"2019M01D02","Swiss franc","National currency","Average","1.1239"
"2019M01D02","Icelandic krona","National currency","Average","133.40"
"2019M01D02","Norwegian krone","National currency","Average","9.9108"
"2019M01D02","Albanian lek","National currency","Average",":"
"2019M01D02","Denar (of North Macedonia)","National currency","Average","61.4950"
"2019M01D02","Serbian dinar","National currency","Average",":"
"2019M01D02","Turkish lira","National currency","Average","6.1130"
"2019M01D02","Argentine peso","National currency","Average","43.0237"
"2019M01D02","Australian dollar","National currency","Average","1.6273"
"2019M01D02","Bosnia and Herzegovina convertible mark","National currency","Average","1.95583"
"2019M01D02","Brazilian real","National currency","Average","4.3930"
"2019M01D02","Canadian dollar","National currency","Average","1.5547"
"2019M01D02","Chinese renminbi-yuan","National currency","Average","7.8165"
"2019M01D02","Hong Kong dollar","National currency","Average","8.9294"
"2019M01D02","Indonesian rupiah","National currency","Average","16 484.11"
"2019M01D02","Israeli shekel","National currency","Average","4.2708"
"2019M01D02","Indian rupee","National currency","Average","79.9855"
"2019M01D02","Japanese yen","National currency","Average","124.28"
"2019M01D02","South Korean won","National currency","Average","1 278.52"
"2019M01D02","Mexican peso","National currency","Average","22.3941"
"2019M01D02","Malaysian ringgit","National currency","Average","4.7195"
"2019M01D02","New Zealand dollar","National currency","Average","1.7049"
"2019M01D02","Philippine peso","National currency","Average","59.894"
"2019M01D02","Russian rouble","National currency","Average","79.3589"
"2019M01D02","Singapore dollar","National currency","Average","1.5555"
"2019M01D02","Thai baht","National currency","Average","36.8070"
"2019M01D02","New Taiwan dollar","National currency","Average","35.1080"
"2019M01D02","US dollar","National currency","Average","1.1397"
"2019M01D02","South African rand","National currency","Average","16.5075"
"2019M01D03","Bulgarian lev","National currency","Average","1.9558"
"2019M01D03","Czech koruna","National currency","Average","25.683"
"2019M01D03","Danish krone","National currency","Average","7.4675"
"2019M01D03","Pound sterling","National currency","Average","0.90312"
"2019M01D03","Croatian kuna","National currency","Average","7.43250"
"2019M01D03","Hungarian forint","National currency","Average","322.41"
"2019M01D03","Polish zloty","National currency","Average","4.2975"
"2019M01D03","Romanian leu","National currency","Average","4.6660"
"2019M01D03","Swedish krona","National currency","Average","10.2808"
"2019M01D03","Swiss franc","National currency","Average","1.1219"
"2019M01D03","Icelandic krona","National currency","Average","133.60"
"2019M01D03","Norwegian krone","National currency","Average","9.9113"
"2019M01D03","Albanian lek","National currency","Average","123.43"
"2019M01D03","Denar (of North Macedonia)","National currency","Average","61.4950"
"2019M01D03","Serbian dinar","National currency","Average","118.3439"
"2019M01D03","Turkish lira","National currency","Average","6.2248"
"2019M01D03","Argentine peso","National currency","Average","42.6685"
"2019M01D03","Australian dollar","National currency","Average","1.6287"
"2019M01D03","Bosnia and Herzegovina convertible mark","National currency","Average","1.95583"
"2019M01D03","Brazilian real","National currency","Average","4.2814"
"2019M01D03","Canadian dollar","National currency","Average","1.5392"
"2019M01D03","Chinese renminbi-yuan","National currency","Average","7.8019"
"2019M01D03","Hong Kong dollar","National currency","Average","8.8884"
"2019M01D03","Indonesian rupiah","National currency","Average","16 352.47"
"2019M01D03","Israeli shekel","National currency","Average","4.2425"
"2019M01D03","Indian rupee","National currency","Average","79.6080"
