TIME,GEO,Value
2017M01,Belgium,7.6
2017M01,Bulgaria,6.6
2017M01,Czechia,3.4
2017M01,Denmark,6.0
2017M01,Germany (until 1990 former territory of the FRG),3.9
2017M01,Estonia,5.8
2017M01,Ireland,7.4
2017M01,Greece,22.9
2017M01,Spain,18.3
2017M01,France,9.7
2017M01,Croatia,12.3
2017M01,Cyprus,12.6
2017M01,Latvia,9.3
2017M01,Lithuania,7.6
2017M01,Luxembourg,6.0
2017M01,Hungary,4.3
2017M01,Malta,4.1
2017M01,Netherlands,5.3
2017M01,Austria,5.7
2017M01,Poland,5.2
2017M01,Portugal,10.0
2017M01,Romania,5.2
2017M01,Slovenia,7.8
2017M01,Slovakia,8.7
2017M01,Finland,8.7
2017M01,Sweden,6.8
2017M01,United Kingdom,4.6
2017M01,Iceland,2.9
2017M01,Norway,4.4
2017M01,Turkey,11.9
2017M02,Belgium,7.8
2017M02,Bulgaria,6.5
2017M02,Czechia,3.3
2017M02,Denmark,6.0
2017M02,Germany (until 1990 former territory of the FRG),3.9
2017M02,Estonia,5.3
2017M02,Ireland,7.3
2017M02,Greece,22.4
2017M02,Spain,18.1
2017M02,France,9.6
2017M02,Croatia,12.1
2017M02,Cyprus,12.4
2017M02,Latvia,9.0
2017M02,Lithuania,7.5
2017M02,Luxembourg,5.9
2017M02,Hungary,4.3
2017M02,Malta,4.0
2017M02,Netherlands,5.3
2017M02,Austria,5.8
2017M02,Poland,5.1
2017M02,Portugal,9.8
2017M02,Romania,5.2
2017M02,Slovenia,7.3
2017M02,Slovakia,8.6
2017M02,Finland,8.8
2017M02,Sweden,6.8
2017M02,United Kingdom,4.5
2017M02,Iceland,2.8
2017M02,Norway,4.4
2017M02,Turkey,11.7
2017M03,Belgium,7.6
2017M03,Bulgaria,6.4
2017M03,Czechia,3.2
2017M03,Denmark,5.9
2017M03,Germany (until 1990 former territory of the FRG),3.9
2017M03,Estonia,5.5
2017M03,Ireland,7.1
2017M03,Greece,22.1
2017M03,Spain,17.9
2017M03,France,9.5
2017M03,Croatia,11.9
2017M03,Cyprus,12.2
2017M03,Latvia,8.8
2017M03,Lithuania,7.4
2017M03,Luxembourg,5.7
2017M03,Hungary,4.4
2017M03,Malta,3.9
2017M03,Netherlands,5.1
2017M03,Austria,5.7
2017M03,Poland,5.0
2017M03,Portugal,9.7
2017M03,Romania,5.1
2017M03,Slovenia,7.0
2017M03,Slovakia,8.6
2017M03,Finland,8.8
2017M03,Sweden,6.8
2017M03,United Kingdom,4.5
2017M03,Iceland,2.8
2017M03,Norway,4.4
2017M03,Turkey,11.5
2017M04,Belgium,7.4
2017M04,Bulgaria,6.3
2017M04,Czechia,3.1
2017M04,Denmark,5.9
2017M04,Germany (until 1990 former territory of the FRG),3.8
2017M04,Estonia,6.1
2017M04,Ireland,6.9
2017M04,Greece,21.9
2017M04,Spain,17.6
2017M04,France,9.6
2017M04,Croatia,11.6
2017M04,Cyprus,11.8
2017M04,Latvia,8.8
2017M04,Lithuania,7.3
2017M04,Luxembourg,5.6
2017M04,Hungary,4.4
2017M04,Malta,4.0
2017M04,Netherlands,5.1
2017M04,Austria,5.6
2017M04,Poland,5.1
2017M04,Portugal,9.5
2017M04,Romania,5.1
2017M04,Slovenia,6.7
2017M04,Slovakia,8.5
2017M04,Finland,8.8
2017M04,Sweden,6.7
2017M04,United Kingdom,4.4
2017M04,Iceland,2.8
2017M04,Norway,4.4
2017M04,Turkey,11.2
2017M05,Belgium,7.2
2017M05,Bulgaria,6.2
2017M05,Czechia,3.0
2017M05,Denmark,5.9
2017M05,Germany (until 1990 former territory of the FRG),3.8
2017M05,Estonia,6.8
2017M05,Ireland,6.7
2017M05,Greece,21.6
2017M05,Spain,17.3
2017M05,France,9.6
2017M05,Croatia,11.3
2017M05,Cyprus,11.5
2017M05,Latvia,8.9
2017M05,Lithuania,7.2
2017M05,Luxembourg,5.5
2017M05,Hungary,4.3
2017M05,Malta,4.0
2017M05,Netherlands,5.1
2017M05,Austria,5.5
2017M05,Poland,5.1
2017M05,Portugal,9.3
2017M05,Romania,5.1
2017M05,Slovenia,6.6
2017M05,Slovakia,8.4
2017M05,Finland,8.7
2017M05,Sweden,6.7
2017M05,United Kingdom,4.4
2017M05,Iceland,2.9
2017M05,Norway,4.4
2017M05,Turkey,11.1
2017M06,Belgium,7.1
2017M06,Bulgaria,6.2
2017M06,Czechia,2.9
2017M06,Denmark,5.9
2017M06,Germany (until 1990 former territory of the FRG),3.8
2017M06,Estonia,6.5
2017M06,Ireland,6.6
2017M06,Greece,21.4
2017M06,Spain,17.1
2017M06,France,9.5
2017M06,Croatia,11.0
2017M06,Cyprus,11.0
2017M06,Latvia,9.0
2017M06,Lithuania,7.1
2017M06,Luxembourg,5.5
2017M06,Hungary,4.3
2017M06,Malta,4.0
2017M06,Netherlands,4.9
2017M06,Austria,5.4
2017M06,Poland,5.0
2017M06,Portugal,9.1
2017M06,Romania,5.1
2017M06,Slovenia,6.6
2017M06,Slovakia,8.2
2017M06,Finland,8.6
2017M06,Sweden,6.7
2017M06,United Kingdom,4.3
2017M06,Iceland,2.9
2017M06,Norway,4.3
2017M06,Turkey,11.0
2017M07,Belgium,7.2
2017M07,Bulgaria,6.2
2017M07,Czechia,2.8
2017M07,Denmark,5.9
2017M07,Germany (until 1990 former territory of the FRG),3.8
2017M07,Estonia,6.0
2017M07,Ireland,6.6
2017M07,Greece,21.2
2017M07,Spain,16.9
2017M07,France,9.6
2017M07,Croatia,10.8
2017M07,Cyprus,10.6
2017M07,Latvia,8.9
2017M07,Lithuania,7.0
2017M07,Luxembourg,5.5
2017M07,Hungary,4.2
2017M07,Malta,4.1
2017M07,Netherlands,4.8
2017M07,Austria,5.4
2017M07,Poland,4.9
2017M07,Portugal,9.0
2017M07,Romania,5.0
2017M07,Slovenia,6.6
2017M07,Slovakia,8.0
2017M07,Finland,8.5
2017M07,Sweden,6.7
2017M07,United Kingdom,4.3
2017M07,Iceland,3.0
2017M07,Norway,4.2
2017M07,Turkey,10.9
2017M08,Belgium,7.2
2017M08,Bulgaria,6.2
2017M08,Czechia,2.7
2017M08,Denmark,5.8
2017M08,Germany (until 1990 former territory of the FRG),3.7
2017M08,Estonia,5.5
2017M08,Ireland,6.6
2017M08,Greece,21.0
2017M08,Spain,16.8
2017M08,France,9.5
2017M08,Croatia,10.7
2017M08,Cyprus,10.4
2017M08,Latvia,8.7
2017M08,Lithuania,7.0
2017M08,Luxembourg,5.5
2017M08,Hungary,4.0
2017M08,Malta,4.2
2017M08,Netherlands,4.7
2017M08,Austria,5.4
2017M08,Poland,4.8
2017M08,Portugal,8.8
2017M08,Romania,4.9
2017M08,Slovenia,6.5
2017M08,Slovakia,7.9
2017M08,Finland,8.5
2017M08,Sweden,6.7
2017M08,United Kingdom,4.2
2017M08,Iceland,3.0
2017M08,Norway,4.1
2017M08,Turkey,10.7
2017M09,Belgium,6.9
2017M09,Bulgaria,6.0
2017M09,Czechia,2.6
2017M09,Denmark,5.7
2017M09,Germany (until 1990 former territory of the FRG),3.7
2017M09,Estonia,5.6
2017M09,Ireland,6.6
2017M09,Greece,21.0
2017M09,Spain,16.7
2017M09,France,9.4
2017M09,Croatia,10.5
2017M09,Cyprus,10.3
2017M09,Latvia,8.5
2017M09,Lithuania,6.9
2017M09,Luxembourg,5.5
2017M09,Hungary,4.0
2017M09,Malta,4.2
2017M09,Netherlands,4.7
2017M09,Austria,5.3
2017M09,Poland,4.8
2017M09,Portugal,8.6
2017M09,Romania,4.8
2017M09,Slovenia,6.3
2017M09,Slovakia,7.9
2017M09,Finland,8.4
2017M09,Sweden,6.6
2017M09,United Kingdom,4.2
2017M09,Iceland,3.1
2017M09,Norway,4.0
2017M09,Turkey,10.6
2017M10,Belgium,6.7
2017M10,Bulgaria,5.9
2017M10,Czechia,2.5
2017M10,Denmark,5.6
2017M10,Germany (until 1990 former territory of the FRG),3.6
2017M10,Estonia,5.4
2017M10,Ireland,6.5
2017M10,Greece,20.9
2017M10,Spain,16.6
2017M10,France,9.2
2017M10,Croatia,10.2
2017M10,Cyprus,10.2
2017M10,Latvia,8.4
2017M10,Lithuania,6.8
2017M10,Luxembourg,5.4
2017M10,Hungary,3.9
2017M10,Malta,4.1
2017M10,Netherlands,4.5
2017M10,Austria,5.4
2017M10,Poland,4.6
2017M10,Portugal,8.4
2017M10,Romania,4.8
2017M10,Slovenia,6.0
2017M10,Slovakia,7.8
2017M10,Finland,8.4
2017M10,Sweden,6.5
2017M10,United Kingdom,4.2
2017M10,Iceland,3.2
2017M10,Norway,4.0
2017M10,Turkey,10.4
2017M11,Belgium,6.4
2017M11,Bulgaria,5.8
2017M11,Czechia,2.5
2017M11,Denmark,5.4
2017M11,Germany (until 1990 former territory of the FRG),3.6
2017M11,Estonia,5.4
2017M11,Ireland,6.4
2017M11,Greece,20.9
2017M11,Spain,16.6
2017M11,France,9.1
2017M11,Croatia,10.0
2017M11,Cyprus,10.3
2017M11,Latvia,8.3
2017M11,Lithuania,6.7
2017M11,Luxembourg,5.4
2017M11,Hungary,3.8
2017M11,Malta,4.0
2017M11,Netherlands,4.4
2017M11,Austria,5.5
2017M11,Poland,4.5
2017M11,Portugal,8.1
2017M11,Romania,4.7
2017M11,Slovenia,5.8
2017M11,Slovakia,7.7
2017M11,Finland,8.4
2017M11,Sweden,6.5
2017M11,United Kingdom,4.3
2017M11,Iceland,3.2
2017M11,Norway,4.0
2017M11,Turkey,10.2
2017M12,Belgium,6.2
2017M12,Bulgaria,5.7
2017M12,Czechia,2.4
2017M12,Denmark,5.3
2017M12,Germany (until 1990 former territory of the FRG),3.6
2017M12,Estonia,5.7
2017M12,Ireland,6.2
2017M12,Greece,20.7
2017M12,Spain,16.5
2017M12,France,9.1
2017M12,Croatia,9.7
2017M12,Cyprus,10.3
2017M12,Latvia,8.1
2017M12,Lithuania,6.7
2017M12,Luxembourg,5.5
2017M12,Hungary,3.8
2017M12,Malta,4.1
2017M12,Netherlands,4.4
2017M12,Austria,5.5
2017M12,Poland,4.3
2017M12,Portugal,7.9
2017M12,Romania,4.6
2017M12,Slovenia,5.7
2017M12,Slovakia,7.5
2017M12,Finland,8.3
2017M12,Sweden,6.4
2017M12,United Kingdom,4.2
2017M12,Iceland,3.2
2017M12,Norway,4.0
2017M12,Turkey,10.0
2018M01,Belgium,6.1
2018M01,Bulgaria,5.5
2018M01,Czechia,2.4
2018M01,Denmark,5.2
2018M01,Germany (until 1990 former territory of the FRG),3.5
2018M01,Estonia,6.4
2018M01,Ireland,6.1
2018M01,Greece,20.5
2018M01,Spain,16.4
2018M01,France,9.2
2018M01,Croatia,9.5
2018M01,Cyprus,9.9
2018M01,Latvia,8.0
2018M01,Lithuania,6.6
2018M01,Luxembourg,5.6
2018M01,Hungary,3.7
2018M01,Malta,4.1
2018M01,Netherlands,4.2
2018M01,Austria,5.2
2018M01,Poland,4.1
2018M01,Portugal,7.8
2018M01,Romania,4.4
2018M01,Slovenia,5.6
2018M01,Slovakia,7.3
2018M01,Finland,8.2
2018M01,Sweden,6.4
2018M01,United Kingdom,4.2
2018M01,Iceland,3.2
2018M01,Norway,4.0
2018M01,Turkey,9.8
2018M02,Belgium,6.1
2018M02,Bulgaria,5.4
2018M02,Czechia,2.3
2018M02,Denmark,5.2
2018M02,Germany (until 1990 former territory of the FRG),3.5
2018M02,Estonia,6.4
2018M02,Ireland,6.0
2018M02,Greece,20.3
2018M02,Spain,16.2
2018M02,France,9.2
2018M02,Croatia,9.2
2018M02,Cyprus,9.4
2018M02,Latvia,7.8
2018M02,Lithuania,6.5
2018M02,Luxembourg,5.5
2018M02,Hungary,3.7
2018M02,Malta,4.1
2018M02,Netherlands,4.1
2018M02,Austria,4.9
2018M02,Poland,3.9
2018M02,Portugal,7.6
2018M02,Romania,4.4
2018M02,Slovenia,5.6
2018M02,Slovakia,7.1
2018M02,Finland,8.0
2018M02,Sweden,6.3
2018M02,United Kingdom,4.2
2018M02,Iceland,3.1
2018M02,Norway,4.0
2018M02,Turkey,9.8
2018M03,Belgium,6.1
2018M03,Bulgaria,5.3
2018M03,Czechia,2.3
2018M03,Denmark,5.1
2018M03,Germany (until 1990 former territory of the FRG),3.5
2018M03,Estonia,5.8
2018M03,Ireland,5.9
2018M03,Greece,20.0
2018M03,Spain,16.0
2018M03,France,9.1
2018M03,Croatia,9.0
2018M03,Cyprus,8.9
2018M03,Latvia,7.7
2018M03,Lithuania,6.5
2018M03,Luxembourg,5.5
2018M03,Hungary,3.7
2018M03,Malta,4.0
2018M03,Netherlands,3.9
2018M03,Austria,4.9
2018M03,Poland,3.8
2018M03,Portugal,7.4
2018M03,Romania,4.3
2018M03,Slovenia,5.5
2018M03,Slovakia,7.0
2018M03,Finland,7.8
2018M03,Sweden,6.3
2018M03,United Kingdom,4.1
2018M03,Iceland,3.1
2018M03,Norway,3.9
2018M03,Turkey,9.9
2018M04,Belgium,6.3
2018M04,Bulgaria,5.3
2018M04,Czechia,2.3
2018M04,Denmark,5.1
2018M04,Germany (until 1990 former territory of the FRG),3.4
2018M04,Estonia,5.2
2018M04,Ireland,5.9
2018M04,Greece,19.8
2018M04,Spain,15.7
2018M04,France,9.1
2018M04,Croatia,8.8
2018M04,Cyprus,8.5
2018M04,Latvia,7.7
2018M04,Lithuania,6.3
2018M04,Luxembourg,5.5
2018M04,Hungary,3.7
2018M04,Malta,3.9
2018M04,Netherlands,3.9
2018M04,Austria,4.9
2018M04,Poland,3.8
2018M04,Portugal,7.2
2018M04,Romania,4.3
2018M04,Slovenia,5.5
2018M04,Slovakia,6.8
2018M04,Finland,7.7
2018M04,Sweden,6.3
2018M04,United Kingdom,4.0
2018M04,Iceland,3.0
2018M04,Norway,3.9
2018M04,Turkey,10.3
2018M05,Belgium,6.3
2018M05,Bulgaria,5.4
2018M05,Czechia,2.3
2018M05,Denmark,5.1
2018M05,Germany (until 1990 former territory of the FRG),3.4
2018M05,Estonia,5.0
2018M05,Ireland,5.8
2018M05,Greece,19.6
2018M05,Spain,15.4
2018M05,France,9.1
2018M05,Croatia,8.6
2018M05,Cyprus,8.3
